Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
isiMacheteBundle,items,item,,,ISI Machete Bundle,,,,,,,,,,,,,
isiClubBundle,items,item,,,ISI Club Bundle,,,,,,,,,,,,,
isiStunBatonBundle,items,item,,,ISI Stun Baton Bundle,,,,,,,,,,,,,
isiSpearBundle,items,item,,,ISI Spear Bundle,,,,,,,,,,,,,
isiSledgehammerBundle,items,item,,,ISI Sledgehammer Bundle,,,,,,,,,,,,,
isiKnucklesBundle,items,item,,,ISI Knuckles Bundle,,,,,,,,,,,,,

isiRangedWeaponDescription,items,item,,,"A bundle containing the title weapon, related perk books, some useful mods, and some ammo",,,,,,,,,,,,,

isiSMG5Bundle,items,item,,,ISI SMG-5 Bundle,,,,,,,,,,,,,
isiDesertVultureBundle,items,item,,,ISI Desert Vulture Bundle,,,,,,,,,,,,,
isiPumpShotgunBundle,items,item,,,ISI Pump Shotgun Bundle,,,,,,,,,,,,,
isiAutoShotgunBundle,items,item,,,ISI Auto Shotgun Bundle,,,,,,,,,,,,,
isiSniperRifleBundle,items,item,,,ISI Sniper Rifle Bundle,,,,,,,,,,,,,
isiM60Bundle,items,item,,,ISI M60 Bundle,,,,,,,,,,,,,
isiRocketLauncherBundle,items,item,,,ISI Rocket Launcher Bundle,,,,,,,,,,,,,
isiCompoundBowBundle,items,item,,,ISI Compound Bow Bundle,,,,,,,,,,,,,
isiCompoundCrossbowBundle,items,item,,,ISI Compound Crossbow Bundle,,,,,,,,,,,,,

isiExplosivesBundle,items,item,,,ISI Explosives Bundle,,,,,,,,,,,,,
isiExplosivesBundleDescription,items,item,,,A bundle containing explosives for horde night,,,,,,,,,,,,,

isiFoodBundle,items,item,,,ISI Food and Drinks Bundle,,,,,,,,,,,,,
isiFoodBundleDescription,items,item,,,A bundle containing food and drinks for horde night,,,,,,,,,,,,,

isiMedicalBundle,items,item,,,ISI Meds and Drugs Bundle,,,,,,,,,,,,,
isiMedicalBundleDescription,items,item,,,A bundle containing meds and drugs for horde night,,,,,,,,,,,,,

isiRepairBundle,items,item,,,ISI Repair Bundle,,,,,,,,,,,,,
isiRepairBundleDescription,items,item,,,A bundle containing repair materials for horde night,,,,,,,,,,,,,

isiSolarCellBundle,items,item,,,ISI Infinite Solar Cells Bundle,,,,,,,,,,,,,
isiSolarCellBundleDescription,items,item,,,An infinite bundle of 6 tier 6 solar cells for stocking solar banks,,,,,,,,,,,,,

isiBatteryBundle,items,item,,,ISI Infinite Batteries Bundle,,,,,,,,,,,,,
isiBatteryBundleDescription,items,item,,,An infinite bundle of 6 tier 6 batteries for stocking battery banks,,,,,,,,,,,,,

isiEngineBundle,items,item,,,ISI Infinite Engines Bundle,,,,,,,,,,,,,
isiEngineBundleDescription,items,item,,,An infinite bundle of 6 engines for stocking generators,,,,,,,,,,,,,

isiElectricityBundle,items,item,,,ISI Electricity Bundle,,,,,,,,,,,,,
isiElectricityBundleDescription,items,item,,,"A bundle of wiring supplies: wire tool, solar cells, batteries, engines, gas",,,,,,,,,,,,,

isiShotgunShellBundle,items,item,,,ISI Infinite Shotgun Shells Bundle,,,,,,,,,,,,,
isiShotgunShellBundleDescription,items,item,,,An infinite bundle of 3 stacks of shotgun shells for stocking shotgun turrets,,,,,,,,,,,,,

isiDartBundle,items,item,,,ISI Infinite Darts Bundle,,,,,,,,,,,,,
isiDartBundleDescription,items,item,,,An infinite bundle of 3 stacks of darts for stocking Dart Traps,,,,,,,,,,,,,

isi9mmBundle,items,item,,,ISI Infinite 9mm Bundle,,,,,,,,,,,,,
isi9mmBundleDescription,items,item,,,An infinite bundle of 3 stacks of 9mm ammo shells for stocking SMG turrets,,,,,,,,,,,,,

isiHordeNightBundle,items,item,,,ISI Horde Night Bundle,,,,,,,,,,,,,
isiHordeNightBundleDescription,items,item,,,A bundle of supplies to simplify preparing to test new horde bases,,,,,,,,,,,,,
